Step,Susceptible,Exposed,Infected,Recovered
0,88206,14,4,1
1,88204,14,6,1
2,88204,9,10,2
3,88204,9,9,3
4,88204,8,9,4
5,88203,8,10,4
6,88203,7,10,5
7,88202,8,9,6
8,88201,6,11,7
9,88201,4,11,9
10,88199,5,12,9
11,88198,4,14,9
12,88195,7,14,9
13,88190,8,18,9
14,88186,9,18,12
15,88181,13,17,14
16,88180,10,20,15
17,88178,10,17,20
18,88176,10,17,22
19,88174,10,18,23
20,88169,14,18,24
21,88167,12,21,25
22,88162,14,22,27
23,88061,112,25,27
24,88057,99,40,29
25,88025,115,51,34
26,87975,143,68,39
27,87931,164,84,46
28,87895,167,113,50
29,87862,164,140,59
30,87695,298,161,71
31,87655,283,197,90
32,87565,329,226,105
33,87482,341,276,126
34,87373,384,312,156
35,87128,543,372,182
36,87021,532,454,218
37,86852,610,488,275
38,86589,760,556,320
39,86246,954,644,381
40,85933,1081,778,433
41,85497,1322,891,515
42,84979,1573,1061,612
43,84254,1986,1270,715
44,83462,2396,1520,847
45,82842,2529,1853,1001
46,81630,3220,2186,1189
47,80515,3745,2565,1400
48,79204,4307,3083,1631
49,78018,4666,3593,1948
50,76585,5192,4111,2337
51,74741,5979,4775,2730
52,73163,6357,5523,3182
53,71241,7010,6272,3702
54,69025,7846,7032,4322
55,66426,8900,7866,5033
56,64006,9490,8918,5811
57,61269,10359,9886,6711
58,58240,11303,10978,7704
59,55240,12034,12135,8816
60,51997,12928,13260,10040
61,49060,13229,14561,11375
62,45770,13868,15737,12850
63,42591,14258,17004,14372
64,39300,14635,18264,16026
65,36311,14689,19381,17844
66,33683,14394,20375,19773
67,30938,14211,21283,21793
68,28492,13837,22037,23859
69,26327,13213,22620,26065
70,24207,12768,22955,28295
71,22400,12026,23241,30558
72,20503,11527,23235,32960
73,18806,10847,23335,35237
74,17483,9982,23149,37611
75,16366,9096,22774,39989
76,15173,8458,22396,42198
77,14124,7794,21912,44395
78,13317,7010,21311,46587
79,12482,6418,20596,48729
80,11852,5746,19924,50703
81,11236,5224,19043,52722
82,10774,4651,18202,54598
83,10332,4202,17236,56455
84,9953,3686,16468,58118
85,9530,3375,15595,59725
86,9176,3051,14730,61268
87,8929,2699,13867,62730
88,8654,2412,13019,64140
89,8402,2180,12159,65484
90,8191,1930,11398,66706
91,8031,1686,10692,67816
92,7853,1514,9896,68962
93,7690,1355,9218,69962
94,7518,1248,8593,70866
95,7360,1188,7925,71752
96,7232,1067,7392,72534
97,7154,924,6861,73286
98,7048,840,6368,73969
99,6993,733,5872,74627
100,6927,664,5443,75191
101,6818,658,4994,75755
102,6760,575,4653,76237
103,6673,558,4261,76733
104,6612,507,3923,77183
105,6583,441,3639,77562
106,6524,407,3405,77889
107,6479,359,3140,78247
108,6431,332,2905,78557
109,6388,313,2689,78835
110,6336,302,2473,79114
111,6317,261,2281,79366
112,6292,232,2112,79589
113,6266,213,1956,79790
114,6244,198,1786,79997
115,6218,170,1670,80167
116,6207,145,1521,80352
117,6172,143,1420,80490
118,6153,132,1323,80617
119,6143,109,1215,80758
120,6132,105,1125,80863
121,6123,90,1034,80978
122,6118,79,938,81090
123,6106,73,862,81184
124,6098,64,779,81284
125,6086,64,707,81368
126,6068,69,645,81443
127,6048,70,596,81511
128,6041,63,551,81570
129,6038,48,507,81632
130,6035,45,452,81693
131,6034,40,426,81725
132,6034,32,404,81755
133,6034,26,379,81786
134,6031,24,342,81828
135,6025,29,311,81860
136,6025,25,281,81894
137,6024,21,257,81923
138,6024,14,241,81946
139,6023,11,219,81972
140,6014,15,202,81994
141,6014,11,191,82009
142,6013,11,166,82035
143,6013,8,153,82051
144,6012,8,143,82062
145,6011,6,133,82075
146,6011,5,119,82090
147,6011,4,108,82102
148,6011,3,97,82114
149,6011,3,89,82122
150,6011,2,81,82131
151,6011,2,75,82137
152,6011,1,66,82147
153,6011,1,56,82157
154,6011,0,53,82161
155,6011,0,51,82163
156,6011,0,47,82167
157,6011,0,44,82170
158,6011,0,42,82172
159,6011,0,38,82176
160,6011,0,35,82179
161,6011,0,34,82180
162,6011,0,30,82184
163,6011,0,28,82186
164,6011,0,25,82189
165,6011,0,23,82191
166,6011,0,22,82192
167,6011,0,19,82195
168,6011,0,18,82196
169,6011,0,14,82200
170,6011,0,11,82203
171,6011,0,10,82204
172,6011,0,8,82206
173,6011,0,8,82206
174,6011,0,8,82206
175,6011,0,7,82207
176,6011,0,6,82208
177,6011,0,6,82208
178,6011,0,6,82208
179,6011,0,5,82209
